income,investment_percentage,goal,risk,return_rate,Goal_Feasibility,Duration_to_Achieve_Goal,Type_of_Goal
268795,37,medium,low,3.284729397,Not Feasible,7,Travel abroad for holiday
496232,8,long,high,11.07786572,Not Feasible,10,Start a business
927040,24,medium,medium,8.928925751,Not Feasible,9,Buy a motorcycle
510186,40,medium,medium,9.896441662,Not Feasible,9,Travel abroad for holiday
166730,35,short,high,10.62914025,Not Feasible,8,Upgrade clothing
880910,42,short,low,2.781374705,Not Feasible,10,Buy fancy shoes
394681,32,medium,medium,9.886884786,Not Feasible,7,Save for higher education
159503,7,medium,high,11.10762328,Not Feasible,11,Save for higher education
664811,10,medium,low,3.267038073,Not Feasible,14,Save for higher education
537035,49,medium,medium,5.418268574,Not Feasible,13,Build an emergency fund
658143,27,long,medium,6.525477547,Not Feasible,8,Invest in a property
462366,11,medium,medium,6.295957331,Not Feasible,13,Save for higher education
75725,40,short,high,14.78837447,Not Feasible,7,Go on a vacation
139981,5,medium,high,10.70291666,Not Feasible,12,Build an emergency fund
94654,10,medium,high,11.54997769,Not Feasible,13,Buy a motorcycle
963277,28,short,low,2.239017252,Not Feasible,13,Pay off a small loan
915778,41,medium,medium,8.359909096,Not Feasible,7,Build an emergency fund
601723,49,short,medium,9.931396309,Not Feasible,13,Buy fancy shoes
329030,40,long,low,2.459548775,Not Feasible,12,Buy a car
338947,28,long,low,3.881553844,Not Feasible,12,Save for children's education
565839,42,short,high,10.76658611,Not Feasible,7,Buy fancy shoes
912648,49,long,medium,6.132436024,Not Feasible,10,Save for children's education
283538,33,long,low,3.626553676,Not Feasible,7,Build a retirement fund
341236,41,long,low,4.849150906,Not Feasible,11,Build a retirement fund
538178,49,short,low,3.425363023,Not Feasible,13,Pay off a small loan
575894,36,medium,high,12.25255986,Not Feasible,11,Buy home appliances
499492,29,long,high,10.68484821,Not Feasible,13,Save for children's education
266840,14,medium,medium,7.817623785,Not Feasible,9,Buy home appliances
483254,39,medium,high,12.31224505,Not Feasible,8,Take a professional certification course
359457,29,long,medium,6.672985926,Not Feasible,14,Save for children's education
675987,31,long,high,13.65326171,Not Feasible,11,Start a business
280936,49,medium,high,11.48958531,Not Feasible,14,Buy home appliances
249931,36,long,high,14.51442173,Not Feasible,10,Build a retirement fund
249629,16,short,low,4.61820117,Not Feasible,8,Buy a laptop
215041,8,short,high,12.43301945,Not Feasible,10,Buy a laptop
708361,46,long,medium,9.539925968,Not Feasible,11,Save for children's education
741912,30,medium,high,14.80777571,Not Feasible,13,Travel abroad for holiday
427113,7,long,low,2.109171908,Not Feasible,8,Start a business
78148,21,short,low,4.55732265,Not Feasible,11,Go on a vacation
787089,13,medium,medium,7.012465049,Not Feasible,7,Buy home appliances
658531,33,long,medium,9.976000262,Not Feasible,12,Build a retirement fund
261995,5,short,low,3.028743169,Not Feasible,13,Purchase a smartphone
916606,22,medium,high,14.16593369,Not Feasible,8,Take a professional certification course
688843,45,short,medium,6.101631888,Not Feasible,12,Upgrade clothing
920790,24,long,medium,9.651018489,Not Feasible,11,Save for children's education
582843,45,long,high,13.71333689,Not Feasible,14,Start a business
266508,38,short,high,11.41915691,Not Feasible,12,Upgrade clothing
813591,32,short,high,13.43654178,Not Feasible,12,Upgrade clothing
906942,39,short,low,3.306187666,Not Feasible,10,Buy a laptop
116530,20,short,low,4.578312101,Not Feasible,12,Purchase a smartphone
614365,25,short,high,10.02970147,Not Feasible,12,Buy fancy shoes
832352,17,medium,medium,7.616705962,Not Feasible,8,Buy a motorcycle
470337,39,long,medium,8.406302893,Not Feasible,13,Save for children's education
734839,46,medium,low,3.190531549,Not Feasible,8,Save for higher education
815889,36,short,low,3.419866151,Not Feasible,8,Upgrade clothing
469773,42,medium,medium,6.199849921,Not Feasible,9,Buy a motorcycle
218261,10,long,low,3.252341174,Not Feasible,7,Build a retirement fund
774469,42,short,low,4.763307521,Not Feasible,13,Buy a laptop
351097,42,short,medium,6.923036561,Not Feasible,8,Buy a laptop
325139,17,long,high,14.94219342,Not Feasible,12,Save for a house down payment
181829,43,medium,medium,7.327532624,Not Feasible,13,Buy home appliances
281836,17,long,low,3.861389483,Not Feasible,11,Start a business
448974,16,long,high,10.02317812,Not Feasible,14,Save for children's education
999913,37,medium,high,10.9349608,Not Feasible,10,Buy home appliances
212283,32,medium,medium,6.778552866,Not Feasible,11,Take a professional certification course
206769,7,short,high,11.63993038,Not Feasible,14,Pay off a small loan
571353,22,short,high,13.59641777,Not Feasible,9,Buy fancy shoes
233165,30,short,medium,7.74283607,Not Feasible,12,Buy fancy shoes
633587,44,long,high,11.08370096,Not Feasible,12,Start a business
960110,6,medium,high,13.02810362,Not Feasible,8,Take a professional certification course
545822,8,medium,medium,5.655605673,Not Feasible,14,Take a professional certification course
497879,32,short,medium,9.33711827,Not Feasible,7,Purchase a smartphone
574685,32,long,low,4.249043684,Not Feasible,13,Start a business
792038,29,long,low,3.03789,Not Feasible,12,Start a business
363531,30,medium,medium,5.241793174,Not Feasible,13,Build an emergency fund
273160,49,medium,low,4.348308009,Not Feasible,10,Buy home appliances
589879,6,medium,medium,6.217103396,Not Feasible,13,Take a professional certification course
230884,46,medium,low,2.776904577,Not Feasible,9,Buy home appliances
33247,38,long,low,3.294606157,Not Feasible,12,Save for a house down payment
34300,34,short,high,13.04282796,Not Feasible,8,Pay off a small loan
477281,25,medium,low,2.10313661,Not Feasible,7,Travel abroad for holiday
617086,48,medium,high,14.12842951,Not Feasible,14,Buy home appliances
543556,41,medium,low,2.102414161,Not Feasible,10,Build an emergency fund
358951,48,long,high,10.87445307,Not Feasible,13,Buy a car
284329,27,short,low,2.680386693,Not Feasible,10,Purchase a smartphone
729064,37,long,low,4.548227368,Not Feasible,10,Start a business
752139,6,short,high,13.72949085,Not Feasible,14,Purchase a smartphone
442315,31,long,high,13.0529625,Not Feasible,10,Build a retirement fund
936075,26,medium,medium,6.780760396,Not Feasible,7,Buy a motorcycle
526588,38,medium,medium,7.764428951,Not Feasible,8,Take a professional certification course
246584,20,short,high,10.25466934,Not Feasible,8,Go on a vacation
572332,24,long,low,4.598270443,Not Feasible,14,Start a business
847646,30,short,medium,8.459995121,Not Feasible,7,Purchase a smartphone
988732,20,long,medium,8.334080936,Not Feasible,14,Invest in a property
386896,10,medium,medium,9.921394623,Not Feasible,10,Travel abroad for holiday
58984,49,short,medium,7.666239833,Not Feasible,11,Go on a vacation
312918,48,short,medium,5.365327605,Not Feasible,10,Purchase a smartphone
274712,27,medium,high,11.14045006,Not Feasible,12,Buy home appliances
130151,46,medium,medium,5.802909971,Not Feasible,8,Travel abroad for holiday
465808,41,medium,high,14.70611712,Not Feasible,7,Build an emergency fund
995067,12,medium,high,10.63801403,Not Feasible,12,Build an emergency fund
143767,10,medium,low,2.06761842,Not Feasible,12,Save for higher education
658663,41,medium,medium,6.510956227,Not Feasible,10,Travel abroad for holiday
713550,26,long,medium,5.609990394,Not Feasible,12,Invest in a property
146330,10,long,low,3.860910287,Not Feasible,13,Buy a car
490754,36,short,medium,6.11872343,Not Feasible,7,Buy fancy shoes
311648,21,long,medium,9.213646161,Not Feasible,13,Buy a car
698519,42,short,high,10.71559437,Not Feasible,14,Go on a vacation
23986,21,long,high,10.76227201,Not Feasible,10,Save for children's education
596146,41,long,low,3.823068627,Not Feasible,11,Buy a car
139312,27,medium,high,10.40956066,Not Feasible,7,Build an emergency fund
22666,17,long,medium,5.25295809,Not Feasible,11,Save for a house down payment
310804,36,long,medium,5.919508452,Not Feasible,7,Save for a house down payment
144633,26,long,low,3.580138726,Not Feasible,14,Start a business
298998,11,medium,medium,7.738898602,Not Feasible,14,Buy a motorcycle
860937,26,medium,low,3.154178258,Not Feasible,10,Buy home appliances
638776,25,long,medium,7.335360978,Not Feasible,13,Save for a house down payment
717611,10,short,low,3.364644936,Not Feasible,7,Buy fancy shoes
294806,18,long,medium,7.287709315,Not Feasible,11,Save for children's education
804824,20,medium,medium,6.331309847,Not Feasible,8,Save for higher education
40535,7,medium,medium,5.847477739,Not Feasible,11,Travel abroad for holiday
385713,13,short,medium,6.957466369,Not Feasible,13,Buy fancy shoes
848688,25,medium,medium,7.317333816,Not Feasible,10,Buy home appliances
361279,34,medium,low,4.860228345,Not Feasible,8,Build an emergency fund
923910,34,long,low,4.245357218,Not Feasible,8,Invest in a property
831654,46,short,high,14.3071778,Not Feasible,13,Buy a laptop
611661,46,medium,low,3.158779264,Not Feasible,11,Build an emergency fund
657972,36,medium,medium,7.86306814,Not Feasible,13,Build an emergency fund
499570,27,long,low,4.226986298,Not Feasible,8,Buy a car
466551,7,long,medium,5.917403529,Not Feasible,13,Start a business
283109,5,long,medium,7.296202732,Not Feasible,14,Invest in a property
34538,7,long,high,11.74149582,Not Feasible,10,Start a business
904498,41,short,low,3.643382877,Not Feasible,13,Go on a vacation
211664,11,long,low,2.876387844,Not Feasible,14,Save for children's education
501234,7,short,medium,6.773345544,Not Feasible,14,Buy a laptop
909684,40,medium,low,4.496794098,Not Feasible,7,Save for higher education
149182,7,medium,low,4.332468189,Not Feasible,11,Travel abroad for holiday
482525,8,long,low,3.2213551,Not Feasible,14,Build a retirement fund
168338,35,long,medium,5.489549279,Not Feasible,10,Save for a house down payment
194064,6,long,low,2.857176995,Not Feasible,12,Save for a house down payment
224020,18,medium,medium,8.659658178,Not Feasible,14,Build an emergency fund
633094,41,medium,medium,8.778252878,Not Feasible,10,Take a professional certification course
934414,35,medium,low,2.973712992,Not Feasible,12,Save for higher education
907421,6,short,high,14.6985093,Not Feasible,7,Upgrade clothing
625270,35,medium,medium,7.508707109,Not Feasible,12,Build an emergency fund
655914,47,long,low,4.635061769,Not Feasible,11,Save for a house down payment
129176,26,short,high,12.64901651,Not Feasible,7,Upgrade clothing
927710,14,short,medium,5.060432702,Not Feasible,13,Buy a laptop
228126,34,short,high,10.49758033,Not Feasible,13,Buy fancy shoes
228969,37,medium,low,2.315729041,Not Feasible,13,Save for higher education
132409,23,medium,high,13.58831036,Not Feasible,7,Buy a motorcycle
557707,29,medium,high,14.30111988,Not Feasible,13,Buy a motorcycle
978140,5,medium,medium,7.62854786,Not Feasible,11,Buy home appliances
263618,36,long,medium,9.271343136,Not Feasible,9,Start a business
779598,29,short,low,3.1154957,Not Feasible,8,Purchase a smartphone
60015,45,short,medium,5.509488492,Not Feasible,9,Purchase a smartphone
782838,21,short,high,11.29494565,Not Feasible,11,Go on a vacation
132096,18,short,high,10.59011305,Not Feasible,9,Buy fancy shoes
641347,49,short,low,4.657271517,Not Feasible,11,Upgrade clothing
195340,17,long,medium,6.19570331,Not Feasible,9,Buy a car
120687,42,long,medium,8.753343416,Not Feasible,9,Save for a house down payment
884371,43,short,low,2.214004748,Not Feasible,10,Pay off a small loan
421357,6,short,medium,8.875240606,Not Feasible,8,Buy fancy shoes
745716,36,medium,high,10.42532621,Not Feasible,12,Travel abroad for holiday
115878,36,short,low,4.84305282,Not Feasible,13,Purchase a smartphone
737270,44,long,medium,8.203124023,Not Feasible,12,Invest in a property
983548,10,medium,high,13.38170859,Not Feasible,14,Take a professional certification course
208286,29,long,low,4.042920115,Not Feasible,7,Buy a car
783290,7,medium,high,11.37362605,Not Feasible,10,Travel abroad for holiday
784684,22,medium,high,12.21478142,Not Feasible,13,Save for higher education
174899,42,short,medium,9.526683442,Not Feasible,13,Buy fancy shoes
983324,47,long,high,11.03449055,Feasible,11,Save for a house down payment
334767,7,long,medium,7.638289743,Not Feasible,14,Save for children's education
871882,9,short,high,11.61464405,Not Feasible,11,Pay off a small loan
889858,28,medium,medium,8.817920477,Not Feasible,7,Buy home appliances
389989,38,medium,medium,7.281172495,Not Feasible,10,Travel abroad for holiday
425515,43,long,low,3.028244226,Not Feasible,10,Buy a car
53585,28,short,medium,7.964932574,Not Feasible,8,Purchase a smartphone
381369,40,short,high,10.53018828,Not Feasible,14,Purchase a smartphone
74044,32,long,low,3.679873427,Not Feasible,12,Save for a house down payment
970061,38,medium,low,4.350475013,Not Feasible,14,Buy a motorcycle
452296,20,medium,high,14.81488371,Not Feasible,13,Take a professional certification course
119556,40,short,high,14.22596948,Not Feasible,13,Purchase a smartphone
536981,11,medium,low,3.849004016,Not Feasible,10,Travel abroad for holiday
891691,22,medium,low,3.621885274,Not Feasible,10,Take a professional certification course
777595,10,medium,medium,6.643391412,Not Feasible,11,Travel abroad for holiday
210235,32,long,low,3.433710861,Not Feasible,8,Buy a car
35939,43,short,high,13.0924304,Not Feasible,8,Buy fancy shoes
976429,38,long,low,2.389406707,Not Feasible,14,Save for children's education
970445,45,long,high,13.61663265,Not Feasible,10,Save for children's education
162906,33,medium,high,11.22504486,Not Feasible,12,Travel abroad for holiday
552335,8,short,medium,5.576746494,Not Feasible,14,Go on a vacation
298249,18,medium,medium,5.489929568,Not Feasible,10,Build an emergency fund
85766,9,short,medium,6.598347229,Not Feasible,7,Upgrade clothing
418923,29,medium,high,11.60195319,Not Feasible,10,Travel abroad for holiday
425192,43,short,high,12.86163904,Not Feasible,13,Buy a laptop
578550,12,short,high,12.29017574,Not Feasible,12,Upgrade clothing
397261,19,medium,medium,8.749708001,Not Feasible,9,Take a professional certification course
820208,23,medium,low,2.057481746,Not Feasible,12,Build an emergency fund
695440,15,long,low,2.272738657,Not Feasible,11,Save for a house down payment
662664,24,long,medium,6.239739506,Not Feasible,9,Save for a house down payment
994346,40,short,medium,5.194762087,Not Feasible,12,Buy a laptop
464589,22,medium,high,10.81972287,Not Feasible,8,Build an emergency fund
147848,18,medium,high,13.63661255,Not Feasible,14,Travel abroad for holiday
627075,42,long,high,13.99149317,Not Feasible,14,Buy a car
137948,29,medium,low,3.777725213,Not Feasible,11,Save for higher education
589304,20,short,low,3.712847361,Not Feasible,9,Purchase a smartphone
412690,22,short,medium,8.13438009,Not Feasible,10,Buy a laptop
509046,5,short,medium,9.006093304,Not Feasible,9,Pay off a small loan
461269,44,long,high,14.21407201,Not Feasible,9,Invest in a property
31959,5,short,low,3.017056117,Not Feasible,10,Buy a laptop
670890,5,long,low,3.249192982,Not Feasible,13,Invest in a property
760216,25,long,medium,9.043534102,Not Feasible,14,Save for a house down payment
915533,29,short,low,2.632049936,Not Feasible,13,Buy a laptop
800180,31,long,high,14.71351142,Not Feasible,12,Save for children's education
238576,14,long,low,4.514720924,Not Feasible,12,Invest in a property
547833,16,short,high,12.20436326,Not Feasible,11,Go on a vacation
924091,32,short,high,12.56858342,Not Feasible,7,Buy fancy shoes
993703,36,long,high,12.18728908,Not Feasible,12,Buy a car
175838,37,long,high,11.14523146,Not Feasible,10,Build a retirement fund
345674,12,medium,low,2.719937596,Not Feasible,14,Travel abroad for holiday
889989,46,short,low,2.90829446,Not Feasible,10,Upgrade clothing
71087,30,medium,high,12.04134529,Not Feasible,11,Save for higher education
603128,46,long,medium,9.468875432,Not Feasible,8,Save for children's education
128451,45,medium,medium,6.792789344,Not Feasible,12,Build an emergency fund
457600,6,long,high,12.8124481,Not Feasible,14,Save for children's education
847437,39,medium,high,10.44250852,Not Feasible,14,Buy a motorcycle
449792,38,long,medium,6.921641101,Not Feasible,10,Save for a house down payment
49353,10,long,low,3.283167547,Not Feasible,7,Build a retirement fund
203075,35,long,low,3.508501486,Not Feasible,7,Start a business
224283,27,short,medium,7.309193571,Not Feasible,10,Go on a vacation
324877,16,long,high,13.30430395,Not Feasible,10,Save for a house down payment
75318,32,short,high,14.25026033,Not Feasible,10,Go on a vacation
775313,19,long,low,3.895693964,Not Feasible,10,Buy a car
492690,23,medium,low,3.162080772,Not Feasible,8,Buy home appliances
426880,16,long,high,13.86382145,Not Feasible,13,Invest in a property
601460,6,long,low,4.053370277,Not Feasible,10,Build a retirement fund
750976,15,medium,medium,8.452357708,Not Feasible,11,Buy home appliances
791239,48,long,medium,8.934151766,Not Feasible,11,Start a business
103264,41,long,low,2.332652453,Not Feasible,8,Invest in a property
780746,42,long,high,11.80878784,Not Feasible,9,Invest in a property
823168,29,medium,medium,5.8410324,Not Feasible,8,Travel abroad for holiday
235281,47,long,low,4.317576193,Not Feasible,10,Buy a car
647147,25,short,low,3.70005095,Not Feasible,9,Purchase a smartphone
908613,46,short,high,14.94753976,Not Feasible,9,Upgrade clothing
404070,40,short,low,4.035911863,Not Feasible,7,Purchase a smartphone
362228,13,short,medium,5.382105729,Not Feasible,11,Go on a vacation
441839,16,medium,low,2.864314545,Not Feasible,12,Travel abroad for holiday
279536,14,long,high,14.62708128,Not Feasible,14,Save for a house down payment
327824,9,short,low,4.944072001,Not Feasible,8,Go on a vacation
267426,37,long,medium,6.117045504,Not Feasible,12,Build a retirement fund
187789,9,long,medium,7.470194478,Not Feasible,12,Invest in a property
523153,20,medium,low,3.110037781,Not Feasible,8,Save for higher education
752452,41,long,high,11.04831839,Not Feasible,8,Buy a car
847291,41,short,medium,6.840620723,Not Feasible,10,Buy fancy shoes
135657,33,short,high,12.14098689,Not Feasible,10,Go on a vacation
245167,22,medium,high,13.33401586,Not Feasible,13,Buy home appliances
691669,33,short,medium,7.513061403,Not Feasible,7,Buy a laptop
490671,10,short,low,4.490112322,Not Feasible,14,Upgrade clothing
729094,22,medium,high,14.71148689,Not Feasible,12,Save for higher education
80467,36,medium,low,3.148018038,Not Feasible,8,Buy a motorcycle
193734,46,short,high,12.50565158,Not Feasible,9,Go on a vacation
632794,35,medium,medium,8.636228226,Not Feasible,14,Buy a motorcycle
119751,15,medium,high,14.13106811,Not Feasible,11,Take a professional certification course
391050,30,short,low,2.661571131,Not Feasible,14,Buy a laptop
940192,32,short,low,3.973946268,Not Feasible,10,Purchase a smartphone
821774,31,medium,high,14.09569156,Not Feasible,9,Save for higher education
702517,23,long,high,13.70082706,Not Feasible,14,Buy a car
471079,49,long,high,13.48948616,Not Feasible,7,Build a retirement fund
378452,31,short,medium,9.720906339,Not Feasible,13,Buy fancy shoes
979587,24,short,low,4.236941917,Not Feasible,12,Buy a laptop
116081,7,long,high,12.44574961,Not Feasible,8,Buy a car
993237,20,medium,low,4.608124177,Not Feasible,7,Travel abroad for holiday
623333,43,long,low,3.310929732,Not Feasible,12,Buy a car
568986,48,long,low,4.39120824,Not Feasible,14,Start a business
120078,33,short,low,3.874207126,Not Feasible,14,Upgrade clothing
877055,19,medium,high,13.02789762,Not Feasible,9,Buy a motorcycle
32671,34,long,low,4.21623162,Not Feasible,7,Buy a car
428400,44,medium,low,4.098348596,Not Feasible,13,Save for higher education
365528,5,short,medium,7.668728516,Not Feasible,13,Buy fancy shoes
969611,33,long,high,14.4272986,Not Feasible,10,Invest in a property
620490,34,short,low,4.16514856,Not Feasible,9,Upgrade clothing
61663,44,long,low,3.741846494,Not Feasible,9,Buy a car
25708,36,medium,high,13.51941506,Not Feasible,11,Buy a motorcycle
888338,14,short,high,11.71926128,Not Feasible,11,Buy a laptop
321955,31,medium,low,4.998514275,Not Feasible,10,Take a professional certification course
143883,12,long,medium,7.346529001,Not Feasible,10,Start a business
328394,40,short,medium,7.374612065,Not Feasible,13,Upgrade clothing
122547,46,medium,high,11.95435443,Not Feasible,13,Take a professional certification course
999586,39,medium,high,11.60752845,Not Feasible,10,Buy a motorcycle
920681,40,long,medium,9.816708752,Not Feasible,7,Invest in a property
569042,40,short,medium,9.84914864,Not Feasible,14,Upgrade clothing
761102,29,medium,medium,9.739665933,Not Feasible,14,Take a professional certification course
772002,24,short,medium,6.613886165,Not Feasible,11,Pay off a small loan
152483,49,short,medium,8.095888372,Not Feasible,9,Purchase a smartphone
668271,21,short,high,10.92226847,Not Feasible,8,Go on a vacation
994774,27,short,high,13.60783563,Not Feasible,14,Buy a laptop
224835,29,long,high,11.36177829,Not Feasible,8,Save for children's education
411896,35,medium,high,13.43104928,Not Feasible,7,Travel abroad for holiday
94896,10,short,low,4.149675849,Not Feasible,8,Pay off a small loan
487095,39,medium,medium,9.983143342,Not Feasible,7,Travel abroad for holiday
81295,8,medium,medium,8.930144116,Not Feasible,10,Travel abroad for holiday
753974,44,medium,high,12.88696365,Not Feasible,13,Buy a motorcycle
897121,24,long,medium,7.453171487,Not Feasible,12,Save for a house down payment
283255,45,short,low,2.16932149,Not Feasible,11,Buy fancy shoes
309648,5,short,low,4.835407039,Not Feasible,10,Go on a vacation
667162,49,medium,low,2.549314619,Not Feasible,7,Take a professional certification course
18155,30,medium,high,10.2054545,Not Feasible,14,Buy a motorcycle
476872,38,long,medium,6.74821194,Not Feasible,13,Save for children's education
835816,14,long,low,2.689202829,Not Feasible,9,Save for a house down payment
384705,27,medium,low,3.454721752,Not Feasible,14,Buy home appliances
581542,28,short,medium,9.621076194,Not Feasible,9,Purchase a smartphone
818350,17,long,medium,9.781228341,Not Feasible,10,Build a retirement fund
620269,33,short,low,2.858034338,Not Feasible,8,Buy a laptop
988217,31,long,low,4.728487338,Not Feasible,12,Save for a house down payment
564594,35,short,medium,9.505314151,Not Feasible,9,Purchase a smartphone
157718,47,medium,high,12.193301,Not Feasible,7,Take a professional certification course
318987,14,long,medium,7.711092131,Not Feasible,8,Save for children's education
655263,35,medium,high,10.2454496,Not Feasible,7,Buy a motorcycle
368745,43,long,low,2.062370264,Not Feasible,10,Invest in a property
117512,14,medium,high,10.77056417,Not Feasible,13,Travel abroad for holiday
157443,28,long,high,12.61602676,Not Feasible,14,Buy a car
480587,37,long,low,3.414689895,Not Feasible,8,Invest in a property
383616,18,long,low,2.037897376,Not Feasible,14,Invest in a property
667409,39,short,high,10.55686266,Not Feasible,13,Pay off a small loan
696976,49,short,medium,7.096977283,Not Feasible,14,Buy fancy shoes
375871,38,long,medium,9.034712046,Not Feasible,9,Save for children's education
385037,21,medium,low,3.623364868,Not Feasible,12,Buy a motorcycle
817364,25,medium,low,4.063501894,Not Feasible,14,Save for higher education
127796,36,long,medium,7.274990478,Not Feasible,14,Buy a car
301999,7,short,medium,6.897224656,Not Feasible,9,Buy a laptop
202506,19,short,low,4.72624558,Not Feasible,14,Purchase a smartphone
708376,12,short,medium,9.146293676,Not Feasible,14,Upgrade clothing
279544,36,short,high,10.99681427,Not Feasible,11,Go on a vacation
390002,42,medium,low,4.443060516,Not Feasible,10,Buy home appliances
708002,30,long,high,11.25940876,Not Feasible,14,Start a business
549439,34,long,high,10.19554424,Not Feasible,8,Save for children's education
978911,13,long,high,13.93670025,Not Feasible,11,Invest in a property
600978,36,medium,high,10.76798843,Not Feasible,13,Buy home appliances
538787,15,short,medium,6.41342208,Not Feasible,7,Buy a laptop
540583,26,short,low,4.299934624,Not Feasible,10,Buy a laptop
917317,38,medium,medium,7.425402844,Not Feasible,12,Build an emergency fund
398215,45,medium,high,13.4613583,Not Feasible,9,Build an emergency fund
331184,22,long,high,10.14673113,Not Feasible,7,Save for a house down payment
808615,23,long,high,11.67859447,Not Feasible,7,Save for a house down payment
432515,22,medium,high,11.77473503,Not Feasible,7,Take a professional certification course
678234,41,medium,low,2.73405943,Not Feasible,7,Build an emergency fund
388480,22,medium,low,3.125799422,Not Feasible,10,Take a professional certification course
42711,16,short,low,3.094642852,Not Feasible,11,Upgrade clothing
801971,8,long,high,14.72047088,Not Feasible,14,Save for a house down payment
511157,47,medium,high,14.24559102,Not Feasible,10,Take a professional certification course
194423,31,medium,low,4.463787929,Not Feasible,13,Build an emergency fund
988771,9,short,low,2.009777807,Not Feasible,13,Upgrade clothing
526349,10,medium,low,3.09659301,Not Feasible,13,Save for higher education
713714,17,long,medium,5.780330517,Not Feasible,13,Save for children's education
922495,27,short,high,11.53113194,Not Feasible,12,Buy fancy shoes
667917,46,medium,low,2.506030022,Not Feasible,12,Build an emergency fund
834792,29,long,low,2.219667232,Not Feasible,9,Save for children's education
747378,8,long,high,12.76617602,Not Feasible,13,Save for a house down payment
143272,36,short,medium,8.798847649,Not Feasible,12,Upgrade clothing
777836,48,long,high,12.46073706,Not Feasible,8,Buy a car
996001,19,short,low,2.860809212,Not Feasible,9,Buy fancy shoes
712335,30,long,low,2.303264057,Not Feasible,8,Build a retirement fund
817789,46,medium,medium,9.303145782,Not Feasible,9,Take a professional certification course
653409,15,short,medium,8.193842079,Not Feasible,14,Purchase a smartphone
87505,13,long,high,10.75912219,Not Feasible,11,Buy a car
12869,15,short,low,2.891006926,Not Feasible,12,Purchase a smartphone
791474,6,long,medium,8.917305848,Not Feasible,12,Invest in a property
464351,49,short,low,4.281388708,Not Feasible,9,Upgrade clothing
322252,31,medium,medium,8.319342587,Not Feasible,8,Save for higher education
646584,30,short,medium,5.466046802,Not Feasible,10,Upgrade clothing
628467,12,short,low,3.934487803,Not Feasible,14,Upgrade clothing
100272,25,medium,low,3.830998854,Not Feasible,8,Travel abroad for holiday
48467,25,long,high,13.04943655,Not Feasible,12,Invest in a property
819760,12,medium,high,14.1137512,Not Feasible,14,Travel abroad for holiday
887844,5,short,high,10.59266909,Not Feasible,13,Buy fancy shoes
490047,42,medium,low,2.078898197,Not Feasible,11,Buy home appliances
669347,17,medium,medium,6.155413817,Not Feasible,13,Save for higher education
68871,13,short,high,10.54970089,Not Feasible,13,Purchase a smartphone
949903,32,short,low,4.290296057,Not Feasible,8,Upgrade clothing
138391,10,medium,high,10.39182797,Not Feasible,7,Save for higher education
449430,27,short,high,11.81668726,Not Feasible,8,Purchase a smartphone
620704,40,long,high,14.49232453,Not Feasible,8,Save for a house down payment
866703,21,long,medium,9.487122315,Not Feasible,9,Save for a house down payment
840496,13,long,low,3.074622323,Not Feasible,14,Build a retirement fund
